transaction_id,user_id,receiver_id,receiver_type,amount,timestamp,date,hour_of_day,day_of_week,is_weekend,is_night_transaction,time_since_last_txn_min,transaction_type,payment_app,device_type,status,user_city_tier,user_kyc_status,user_avg_monthly_txn,user_avg_txn_value,user_loyalty_score,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score,is_fraud,recurring_payment_flag,balance_after_transaction,transaction_frequency_score
TXN0004327,USR01923,MRC0339,Merchant,190.29,2024-01-01 06:17,2024-01-01,6,Monday,0,0,-259588.95,Recharge,GPay,Android,Success,Tier 2,Verified,32,651.35,0.663,0,0,0,0,0.7079,0,0,50993.63,0.64
TXN0011406,USR00106,MRC0129,Merchant,733.11,2024-01-01 06:18,2024-01-01,6,Monday,0,0,-208541.82,P2M,PhonePe,iOS,Success,Tier 3,Verified,18,597.7,0.958,0,0,0,0,0.2266,0,0,19155.86,0.36
TXN0012075,USR00208,MRC0319,Merchant,80.28,2024-01-01 07:37,2024-01-01,7,Monday,0,0,-105882.27,Recharge,PhonePe,iOS,Success,Tier 2,Verified,24,228.59,0.168,0,0,0,2,0.6488,0,0,12256.04,0.48
TXN0001863,USR01490,MRC0112,Merchant,160.1,2024-01-01 07:54,2024-01-01,7,Monday,0,0,,Bill Payment,Amazon Pay,iOS,Success,Tier 2,Not Verified,14,434.16,0.514,0,0,0,0,0.6312,0,1,54893.73,0.28
TXN0013119,USR01264,MRC0280,Merchant,3315.61,2024-01-01 08:04,2024-01-01,8,Monday,0,0,-19908.52,P2M,PhonePe,Android,Success,Tier 2,Verified,45,2201.14,0.175,0,0,0,0,0.5063,0,0,78912.29,0.9
TXN0003448,USR00189,MRC0132,Merchant,273.43,2024-01-01 09:24,2024-01-01,9,Monday,0,0,,P2M,BHIM,Android,Success,Tier 3,Verified,23,280.96,0.725,0,0,0,0,0.0268,0,0,41045.37,0.46
TXN0004934,USR01522,MRC0245,Merchant,2398.1,2024-01-01 09:42,2024-01-01,9,Monday,0,0,,P2M,Paytm,Android,Success,Tier 2,Verified,15,1271.45,0.106,0,0,0,0,0.8861,0,0,51911.33,0.3
TXN0013293,USR00859,MRC0131,Merchant,526.26,2024-01-01 09:50,2024-01-01,9,Monday,0,0,-59844.7,Bill Payment,Paytm,Web,Success,Tier 2,Verified,30,843.18,0.311,0,0,0,0,0.3759,0,1,77998.97,0.6
TXN0017434,USR00709,MRC0208,Merchant,2783.94,2024-01-01 10:19,2024-01-01,10,Monday,0,0,-154583.57,P2M,GPay,iOS,Success,Tier 1,Not Verified,40,862.72,0.802,0,0,1,0,2.2269,0,0,17157.69,0.8
TXN0001222,USR01571,USR00592,User,267.19,2024-01-01 10:31,2024-01-01,10,Monday,0,0,-10262.63,P2P,PhonePe,Web,Success,Tier 3,Not Verified,18,279.97,0.876,0,0,0,0,0.0456,0,0,6067.21,0.36
TXN0018200,USR01659,MRC0026,Merchant,577.16,2024-01-01 10:35,2024-01-01,10,Monday,0,0,-389398.52,P2M,GPay,iOS,Success,Tier 1,Verified,32,1428.01,0.283,1,0,1,0,0.5958,1,0,64051.65,0.64
TXN0018960,USR00943,MRC0249,Merchant,501.83,2024-01-01 10:47,2024-01-01,10,Monday,0,0,-12238.35,EMI,PhonePe,Android,Failed,Tier 3,Verified,20,255.03,0.677,1,0,0,0,0.9677,0,1,38907.39,0.4
TXN0005119,USR01700,MRC0232,Merchant,864.62,2024-01-01 10:52,2024-01-01,10,Monday,0,0,-196876.15,P2M,GPay,Web,Success,Tier 2,Verified,28,816.94,0.195,0,0,0,0,0.0584,0,0,31092.19,0.56
TXN0002250,USR01752,MRC0119,Merchant,1236.92,2024-01-01 11:15,2024-01-01,11,Monday,0,0,-324184.98,P2M,GPay,Android,Pending,Tier 1,Verified,39,2325.78,0.671,1,0,0,0,0.4682,0,0,68368.71,0.78
TXN0001165,USR01148,MRC0280,Merchant,338.6,2024-01-01 11:23,2024-01-01,11,Monday,0,0,-479180.73,P2M,Paytm,Android,Success,Tier 1,Verified,39,388.52,0.408,0,0,0,0,0.1285,0,0,34066.54,0.78
TXN0000745,USR01508,MRC0336,Merchant,427.09,2024-01-01 11:31,2024-01-01,11,Monday,0,0,,Bill Payment,GPay,iOS,Pending,Tier 2,Verified,23,359.73,0.82,0,0,0,0,0.1873,0,1,55717.57,0.46
TXN0015461,USR00009,USR01056,User,2078.09,2024-01-01 11:36,2024-01-01,11,Monday,0,0,-280472.25,P2P,GPay,Android,Success,Tier 1,Verified,52,1447.92,0.846,0,0,0,0,0.4352,0,0,61380.18,1
TXN0007601,USR00234,USR00331,User,395.26,2024-01-01 11:43,2024-01-01,11,Monday,0,0,-481604.8,P2P,Paytm,Android,Success,Tier 1,Verified,54,634.28,0.39,0,0,1,1,0.3768,0,0,1467.34,1
TXN0001660,USR00609,MRC0017,Merchant,597.7,2024-01-01 12:00,2024-01-01,12,Monday,0,0,,Bill Payment,GPay,iOS,Success,Tier 3,Verified,21,346.92,0.321,0,1,1,0,0.7229,0,1,9707.85,0.42
TXN0002677,USR00179,MRC0181,Merchant,1475.24,2024-01-01 12:11,2024-01-01,12,Monday,0,0,,EMI,GPay,Android,Success,Tier 1,Not Verified,49,713.61,0.87,0,0,0,4,1.0673,0,1,2830.47,0.98
TXN0013422,USR01238,MRC0393,Merchant,1021.92,2024-01-01 12:12,2024-01-01,12,Monday,0,0,-365363.97,Subscription,GPay,Android,Success,Tier 1,Verified,32,917,0.813,0,0,1,0,0.1144,0,1,53660.1,0.64
TXN0019666,USR01949,MRC0018,Merchant,996.22,2024-01-01 12:39,2024-01-01,12,Monday,0,0,-75022.1,Bill Payment,Paytm,Android,Failed,Tier 2,Verified,36,472.44,0.194,0,0,0,2,,0,1,35096.64,0.72
TXN0010646,USR01137,MRC0125,Merchant,380.29,2024-01-01 13:37,2024-01-01,13,Monday,0,0,-3215.63,P2M,GPay,iOS,Success,Tier 2,Verified,37,546.45,0.931,0,0,0,0,0.3041,0,0,24308.17,0.74
TXN0008925,USR01947,MRC0204,Merchant,807.91,2024-01-01 14:37,2024-01-01,14,Monday,0,0,-151518.32,Recharge,Amazon Pay,Web,Success,Tier 1,Verified,32,914.87,0.26,1,1,0,0,0.1169,0,0,29054.71,0.64
TXN0006661,USR00791,MRC0237,Merchant,1503.13,2024-01-01 14:44,2024-01-01,14,Monday,0,0,-124695.02,P2M,GPay,Web,Success,Tier 1,Verified,39,1792.24,0.144,1,0,1,2,0.1613,0,0,33501.61,0.78
TXN0005659,USR01365,MRC0244,Merchant,192.12,2024-01-01 15:19,2024-01-01,15,Monday,0,0,-496452.27,Recharge,GPay,Android,Success,Tier 2,Verified,35,462.47,0.394,0,0,1,0,0.5846,0,0,23398.65,0.7
TXN0019505,USR01986,MRC0362,Merchant,348.29,2024-01-01 15:51,2024-01-01,15,Monday,0,0,-142507.1,P2M,PhonePe,Android,Success,Tier 2,Verified,26,528.91,0.907,0,0,5,0,0.3415,0,0,77244.13,0.52
TXN0007046,USR01026,MRC0049,Merchant,218.78,2024-01-01 15:52,2024-01-01,15,Monday,0,0,-103121.32,EMI,Paytm,iOS,Success,Tier 3,Not Verified,19,302.59,0.572,0,0,0,2,,0,1,43946.72,0.38
TXN0017390,USR01853,MRC0261,Merchant,326.73,2024-01-01 16:13,2024-01-01,16,Monday,0,0,-369096.45,Recharge,PhonePe,Android,Success,Tier 2,Verified,35,116.06,0.894,0,0,0,1,1.8152,0,0,44587.36,0.7
TXN0017471,USR00041,MRC0218,Merchant,1437.97,2024-01-01 16:29,2024-01-01,16,Monday,0,0,-55802.57,P2M,GPay,Android,Success,Tier 1,Verified,34,2303.11,0.405,0,0,0,0,0.3756,0,0,50168.96,0.68
TXN0018684,USR01290,USR00787,User,1323.85,2024-01-01 17:08,2024-01-01,17,Monday,0,0,-47896.27,P2P,Paytm,iOS,Success,Tier 1,Verified,31,635.76,0.435,1,0,1,,1.0823,0,0,8287.31,0.62
TXN0002044,USR00619,MRC0228,Merchant,367.77,2024-01-01 17:31,2024-01-01,17,Monday,0,0,-514872.47,P2M,GPay,Android,Success,Tier 3,Verified,16,916.43,0.248,0,0,0,1,0.5987,0,0,35844.77,0.32
TXN0019102,USR01759,MRC0061,Merchant,355.41,2024-01-01 17:44,2024-01-01,17,Monday,0,0,-482838.37,P2M,WhatsApp Pay,Android,Success,Tier 1,Verified,47,351.94,0.328,1,0,0,0,0.0099,0,0,60858.93,0.94
TXN0001080,USR01127,MRC0364,Merchant,154.58,2024-01-01 17:48,2024-01-01,17,Monday,0,0,,Subscription,PhonePe,iOS,Success,Tier 1,Verified,43,436.3,0.381,0,0,0,0,0.6457,0,1,14087.83,0.86
TXN0015350,USR00771,MRC0092,Merchant,669.91,2024-01-01 17:53,2024-01-01,17,Monday,0,0,-19696.33,Recharge,PhonePe,Android,Failed,Tier 2,Verified,30,553.56,0.719,0,0,5,0,0.2102,0,0,9313.09,0.6
TXN0006294,USR01597,MRC0357,Merchant,1051.16,2024-01-01 17:59,2024-01-01,17,Monday,0,0,-516419.18,Subscription,GPay,Android,Success,Tier 1,Verified,42,986.4,0.418,0,0,0,0,0.0657,0,1,38006.57,0.84
TXN0003933,USR00570,MRC0084,Merchant,873.14,2024-01-01 18:15,2024-01-01,18,Monday,0,0,-320299.85,P2M,Paytm,Android,Success,Tier 2,Verified,22,544.96,0.758,0,0,0,3,0.6022,0,0,41750.85,0.44
TXN0004748,USR01598,MRC0329,Merchant,158.8,2024-01-01 19:17,2024-01-01,19,Monday,0,0,-197659,EMI,Paytm,Android,Success,Tier 3,Verified,16,243.17,0.259,0,0,0,0,0.347,0,1,78569.83,0.32
TXN0000494,USR00312,MRC0027,Merchant,833.86,2024-01-01 19:27,2024-01-01,19,Monday,0,0,-330771.78,P2M,Paytm,Android,Success,Tier 1,Verified,29,907.21,0.101,0,1,0,1,0.0809,0,0,73487.64,0.58
TXN0009299,USR01384,USR00476,User,1916.2,2024-01-01 19:37,2024-01-01,19,Monday,0,0,-70921.83,P2P,PhonePe,Android,Success,Tier 1,Verified,57,637.4,0.39,0,0,0,2,2.0063,0,0,62533.53,1
TXN0014327,USR01952,MRC0208,Merchant,218.78,2024-01-01 19:53,2024-01-01,19,Monday,0,0,-465008.07,EMI,Paytm,Android,Success,Tier 2,Not Verified,10,343.72,0.502,0,0,0,1,0.3635,0,1,72832.36,0.2
TXN0004177,USR01739,MRC0017,Merchant,289.35,2024-01-01 19:59,2024-01-01,19,Monday,0,0,,P2M,GPay,iOS,Success,Tier 3,Verified,13,523.54,0.259,1,0,1,0,0.4473,0,0,28103.79,0.26
TXN0004702,USR01555,USR00955,User,120.63,2024-01-01 20:45,2024-01-01,20,Monday,0,0,-336628.58,P2P,Paytm,iOS,Success,Tier 2,Verified,6,238.63,0.361,0,0,1,0,0.4945,0,0,72264.22,0.12
TXN0014548,USR00275,MRC0082,Merchant,1317.65,2024-01-01 21:07,2024-01-01,21,Monday,0,0,-118846.63,P2M,Amazon Pay,Android,Success,Tier 1,Not Verified,44,546.6,0.379,0,0,0,2,1.4106,0,0,53272.51,0.88
TXN0019878,USR01144,MRC0266,Merchant,79.51,2024-01-01 21:09,2024-01-01,21,Monday,0,0,-208608.85,P2M,Amazon Pay,Android,Success,Tier 3,Verified,24,311.64,0.465,0,0,3,1,0.7449,0,0,32956.56,0.48
TXN0016891,USR01100,MRC0130,Merchant,2384.18,2024-01-01 21:55,2024-01-01,21,Monday,0,0,-388233,Subscription,PhonePe,Android,Success,Tier 1,Not Verified,40,1379.48,0.644,0,0,0,0,0.7283,0,1,30103.61,0.8
TXN0010152,USR01612,MRC0245,Merchant,500.53,2024-01-01 22:07,2024-01-01,22,Monday,0,1,-390238.25,Recharge,GPay,Android,Success,Tier 2,Verified,4,674.78,0.927,0,0,1,1,0.2582,0,0,39281.49,0.08
TXN0004946,USR00898,USR00878,User,798.75,2024-01-01 22:45,2024-01-01,22,Monday,0,1,-181977.53,P2P,Amazon Pay,Web,Success,Tier 1,Not Verified,40,1349.81,0.648,0,0,1,3,0.4083,1,0,76962.99,0.8
TXN0015384,USR01646,MRC0384,Merchant,1787.73,2024-01-01 23:02,2024-01-01,23,Monday,0,1,-430518.95,P2M,GPay,iOS,Success,Tier 1,Verified,50,1665.11,0.859,1,0,0,1,0.0736,0,0,64117.27,1
TXN0003244,USR01289,MRC0357,Merchant,669.83,2024-01-01 23:23,2024-01-01,23,Monday,0,1,-60406.23,P2M,Amazon Pay,Android,Success,Tier 2,Verified,31,1418.01,0.219,0,0,0,,0.5276,0,0,67797.83,0.62
TXN0007197,USR01414,MRC0396,Merchant,527.49,2024-01-02 00:33,2024-01-02,0,Tuesday,0,1,-256802.02,Recharge,Paytm,Android,Failed,Tier 3,Verified,19,623.64,0.954,0,0,0,0,0.1542,0,0,19178.13,0.38
TXN0000725,USR01193,USR00899,User,5638.7,2024-01-02 01:03,2024-01-02,1,Tuesday,0,1,,P2P,PhonePe,Android,Success,Tier 2,Verified,41,1201.87,0.674,0,0,0,0,3.6916,0,0,72135.27,0.82
TXN0006217,USR01883,MRC0250,Merchant,149.5,2024-01-02 01:12,2024-01-02,1,Tuesday,0,1,,EMI,PhonePe,Android,Success,Tier 2,Not Verified,30,162.58,0.788,0,0,0,0,0.0805,0,1,53571.26,0.6
TXN0007475,USR01503,MRC0349,Merchant,466.56,2024-01-02 01:12,2024-01-02,1,Tuesday,0,1,-248254.88,P2M,Amazon Pay,Android,Success,Tier 1,Verified,22,334.38,0.904,0,0,0,0,0.3953,0,0,12971.8,0.44
TXN0012958,USR00069,MRC0078,Merchant,189.44,2024-01-02 02:23,2024-01-02,2,Tuesday,0,1,-469658.85,Bill Payment,PhonePe,Android,Success,Tier 3,Not Verified,26,373.92,0.896,0,0,0,2,0.4934,0,1,17847.41,0.52
TXN0019695,USR01122,MRC0099,Merchant,398.05,2024-01-02 02:42,2024-01-02,2,Tuesday,0,1,-192188.43,Bill Payment,GPay,Android,Success,Tier 3,Verified,13,379.64,0.535,0,0,1,0,0.0485,0,1,13639.03,0.26
TXN0001569,USR00131,MRC0227,Merchant,474.94,2024-01-02 03:22,2024-01-02,3,Tuesday,0,1,-229721.5,Subscription,Amazon Pay,Web,Success,Tier 2,Not Verified,18,453.99,0.565,0,0,2,0,0.0461,0,1,32656.91,0.36
TXN0018905,USR00826,MRC0245,Merchant,925.65,2024-01-02 03:44,2024-01-02,3,Tuesday,0,1,-328943.8,Recharge,PhonePe,Android,Success,Tier 1,Verified,38,425.45,0.285,0,0,2,3,1.1757,0,0,45873.16,0.76
TXN0017969,USR01351,MRC0076,Merchant,228.39,2024-01-02 03:53,2024-01-02,3,Tuesday,0,1,-251723.95,P2M,PhonePe,Android,Success,Tier 2,Verified,47,268.24,0.786,0,0,0,1,0.1486,0,0,78298.83,0.94
TXN0011474,USR00593,USR00695,User,92.4,2024-01-02 03:57,2024-01-02,3,Tuesday,0,1,-138215.75,P2P,GPay,Android,Success,Tier 3,Verified,16,163.14,0.84,0,0,0,,0.4336,0,0,45017.74,0.32
TXN0004944,USR01497,USR01558,User,160.89,2024-01-02 04:10,2024-01-02,4,Tuesday,0,1,-127555.8,P2P,Paytm,Android,Success,Tier 2,Verified,35,167.57,0.524,0,0,0,3,0.0399,0,0,35760.5,0.7
TXN0018047,USR01032,MRC0223,Merchant,743.69,2024-01-02 04:39,2024-01-02,4,Tuesday,0,1,-364358.18,P2M,Paytm,Web,Failed,Tier 1,Verified,65,532.92,0.456,0,0,1,1,0.3955,0,0,23558.24,1
TXN0011760,USR00305,MRC0017,Merchant,188.75,2024-01-02 05:18,2024-01-02,5,Tuesday,0,1,-367595.13,Bill Payment,GPay,Android,Success,Tier 2,Not Verified,22,462.77,0.685,1,0,1,0,0.5921,0,1,57003.81,0.44
TXN0005037,USR00514,MRC0175,Merchant,643.57,2024-01-02 05:53,2024-01-02,5,Tuesday,0,1,-180442.75,Bill Payment,BHIM,iOS,Failed,Tier 3,Verified,9,375.98,0.398,0,0,0,0,0.7117,0,1,58036.05,0.18
TXN0007241,USR00622,MRC0005,Merchant,503.25,2024-01-02 05:54,2024-01-02,5,Tuesday,0,1,-439236.97,P2M,Paytm,iOS,Success,Tier 2,Not Verified,24,634.85,0.727,0,0,0,1,0.2073,1,0,21529.55,0.48
TXN0014084,USR00237,USR00627,User,1099.83,2024-01-02 06:42,2024-01-02,6,Tuesday,0,0,-122837.75,P2P,PhonePe,Android,Success,Tier 2,Verified,22,1133.56,0.686,0,0,2,2,0.0298,0,0,17469.9,0.44
TXN0002866,USR01751,MRC0336,Merchant,1442.02,2024-01-02 06:43,2024-01-02,6,Tuesday,0,0,,Bill Payment,BHIM,iOS,Success,Tier 2,Verified,39,916.22,0.787,0,0,1,0,0.5739,0,1,24153.87,0.78
TXN0004294,USR01859,MRC0269,Merchant,325.82,2024-01-02 06:44,2024-01-02,6,Tuesday,0,0,-70212.5,P2M,Amazon Pay,Web,Failed,Tier 1,Verified,36,611.56,0.178,0,0,3,0,0.4672,0,0,46451.4,0.72
TXN0017469,USR01574,MRC0045,Merchant,124.6,2024-01-02 08:43,2024-01-02,8,Tuesday,0,0,-385608.7,Bill Payment,BHIM,Android,Success,Tier 2,Verified,29,274.07,0.181,0,0,0,0,0.5454,0,1,27537.66,0.58
TXN0004544,USR00564,MRC0038,Merchant,273.56,2024-01-02 08:53,2024-01-02,8,Tuesday,0,0,-45917.45,P2M,PhonePe,Android,Success,Tier 2,Not Verified,25,423.81,0.889,0,0,0,0,0.3545,0,0,12932.58,0.5
TXN0001773,USR00234,MRC0373,Merchant,634.72,2024-01-02 09:06,2024-01-02,9,Tuesday,0,0,,Bill Payment,GPay,Android,Success,Tier 1,Verified,54,634.28,0.39,0,0,1,3,0.0007,0,1,51673.93,1
TXN0012890,USR01562,MRC0157,Merchant,1459.52,2024-01-02 09:30,2024-01-02,9,Tuesday,0,0,-196405.53,Bill Payment,PhonePe,iOS,Success,Tier 2,Not Verified,31,966.1,0.393,0,0,0,1,0.5107,0,1,40615.97,0.62
TXN0013695,USR00966,USR01119,User,246.66,2024-01-02 09:35,2024-01-02,9,Tuesday,0,0,-194978.6,P2P,PhonePe,Android,Success,Tier 3,Verified,23,276.53,0.769,0,0,0,1,0.108,0,0,38828.34,0.46
TXN0019783,USR01984,USR01610,User,221.77,2024-01-02 09:42,2024-01-02,9,Tuesday,0,0,-371184.62,P2P,PhonePe,Android,Success,Tier 3,Not Verified,23,141.26,0.421,0,0,0,0,0.5699,0,0,30100.02,0.46
TXN0007981,USR01966,USR00563,User,240.19,2024-01-02 09:58,2024-01-02,9,Tuesday,0,0,-480076.8,P2P,PhonePe,Android,Success,Tier 3,Verified,11,336.11,0.883,0,1,0,0,0.2854,0,0,52538.71,0.22
TXN0007447,USR01834,MRC0036,Merchant,269.35,2024-01-02 10:22,2024-01-02,10,Tuesday,0,0,,EMI,PhonePe,Android,Success,Tier 1,Not Verified,53,459.2,0.427,0,0,0,1,0.4134,0,1,1398.1,1
TXN0010768,USR01654,USR00395,User,1242.78,2024-01-02 11:08,2024-01-02,11,Tuesday,0,0,-168123.85,P2P,GPay,Android,Success,Tier 3,Verified,21,411.64,0.972,0,0,0,0,2.0191,0,0,42931.18,0.42
TXN0001079,USR01788,MRC0050,Merchant,279.01,2024-01-02 11:52,2024-01-02,11,Tuesday,0,0,,EMI,BHIM,iOS,Failed,Tier 3,Verified,13,328.25,0.744,0,0,1,0,0.15,0,1,71981.98,0.26
TXN0003032,USR00543,MRC0139,Merchant,545.39,2024-01-02 12:26,2024-01-02,12,Tuesday,0,0,-414213.85,P2M,GPay,Android,Success,Tier 1,Verified,42,700.79,0.991,0,0,0,2,0.2217,1,0,38995.21,0.84
TXN0018938,USR01787,USR01506,User,414.56,2024-01-02 13:14,2024-01-02,13,Tuesday,0,0,-12709.28,P2P,PhonePe,Android,Success,Tier 1,Verified,37,682.54,0.778,0,0,2,2,0.3926,0,0,76864.52,0.74
TXN0015445,USR01515,USR01898,User,1144.55,2024-01-02 13:28,2024-01-02,13,Tuesday,0,0,-114699.15,P2P,WhatsApp Pay,iOS,Success,Tier 3,Verified,10,289.93,0.601,0,0,0,0,2.9477,0,0,3322.52,0.2
TXN0014004,USR01715,MRC0145,Merchant,890.24,2024-01-02 13:47,2024-01-02,13,Tuesday,0,0,-55659.65,P2M,GPay,Android,Success,Tier 3,Verified,19,582.22,0.14,0,0,0,0,0.529,0,0,18685.79,0.38
TXN0011589,USR00577,MRC0190,Merchant,405.69,2024-01-02 13:58,2024-01-02,13,Tuesday,0,0,-130878.85,P2M,GPay,iOS,Success,Tier 2,Verified,32,1073.67,0.749,0,0,1,0,0.6221,0,0,76244.93,0.64
TXN0010642,USR00132,MRC0375,Merchant,345.72,2024-01-02 14:22,2024-01-02,14,Tuesday,0,0,-74761.37,EMI,GPay,Web,Success,Tier 2,Verified,37,684.94,0.782,0,0,0,2,0.4953,0,1,33525.64,0.74
TXN0014838,USR00259,MRC0264,Merchant,263.26,2024-01-02 14:43,2024-01-02,14,Tuesday,0,0,-441947.2,Bill Payment,GPay,iOS,Success,Tier 3,Verified,11,382.13,0.791,0,0,0,0,0.3111,0,1,70109.19,0.22
TXN0011254,USR01449,MRC0258,Merchant,586.43,2024-01-02 15:31,2024-01-02,15,Tuesday,0,0,-278825.95,P2M,PhonePe,Android,Success,Tier 2,Verified,34,393.23,0.261,0,0,0,2,0.4913,0,0,30766.43,0.68
TXN0012525,USR00329,USR01703,User,785.25,2024-01-02 15:42,2024-01-02,15,Tuesday,0,0,-258710.15,P2P,Paytm,Android,Success,Tier 1,Not Verified,43,420.6,0.484,0,0,0,0,0.867,0,0,18490.95,0.86
TXN0016237,USR00795,MRC0282,Merchant,178.04,2024-01-02 16:45,2024-01-02,16,Tuesday,0,0,-154320.85,EMI,PhonePe,Android,Success,Tier 1,Verified,34,849.03,0.409,0,0,0,0,0.7903,0,1,56898.45,0.68
TXN0013520,USR01903,MRC0125,Merchant,331.11,2024-01-02 17:15,2024-01-02,17,Tuesday,0,0,-451805.63,Recharge,PhonePe,Android,Success,Tier 3,Not Verified,28,404.76,0.898,0,0,0,0,0.182,0,0,35949.88,0.56
TXN0005390,USR00101,MRC0283,Merchant,935.05,2024-01-02 17:23,2024-01-02,17,Tuesday,0,0,-164191.27,P2M,GPay,Android,Success,Tier 1,Verified,62,650.96,0.388,0,0,0,0,0.4364,0,0,42965.2,1
TXN0017704,USR00782,MRC0073,Merchant,4015.07,2024-01-02 17:34,2024-01-02,17,Tuesday,0,0,-366357.72,EMI,GPay,Android,Success,Tier 2,Not Verified,27,1196.6,0.658,0,0,0,0,2.3554,0,1,25992.37,0.54
TXN0004220,USR00399,MRC0309,Merchant,197.62,2024-01-02 17:53,2024-01-02,17,Tuesday,0,0,-445920.05,Recharge,GPay,Android,Success,Tier 2,Not Verified,30,354.24,0.794,0,0,0,0,0.4421,0,0,75534.25,0.6
TXN0019862,USR01773,MRC0087,Merchant,626.22,2024-01-02 18:38,2024-01-02,18,Tuesday,0,0,-432298.13,P2M,Paytm,Web,Success,Tier 2,Verified,22,496.38,0.526,0,0,0,1,0.2616,0,0,52393.67,0.44
TXN0000879,USR01394,MRC0008,Merchant,1032.46,2024-01-02 18:54,2024-01-02,18,Tuesday,0,0,-101780.83,Bill Payment,GPay,Android,Failed,Tier 1,Verified,78,1358.5,0.565,0,0,0,4,0.24,0,1,40582.31,1
TXN0013612,USR01632,MRC0249,Merchant,164.54,2024-01-02 19:06,2024-01-02,19,Tuesday,0,0,-197317.5,Bill Payment,Paytm,Android,Success,Tier 3,Verified,18,135.85,0.798,0,0,0,1,0.2112,0,1,74265.46,0.36
